0x258a753cd3a522e0e57acd938bf75d9fdc0cc88a0f21d818d6595b46404ff608, 1 min ago,                  ETH ,         0.8783931,                  DEC ,       307.7535576,         0.0028542
0x84a7d6452df8f76a297d777c47d9b117460104040a43b4ae2a755e180929b661, 1 min ago,                 METM ,      3150.2264225,                  ETH ,         0.1600000,         0.0000508
0x72fb01eef146280c2d2e12fdcb17ac7cb3f54d79224e84807efa3d7bf9e83c22, 1 min ago,                  MVP ,     64444.0000000,                  ETH ,         0.2319984,         0.0000036
0xead62c1713c4ce424989dcc69657759a3bcaad00dc8e2e3ddf0080176293dd93, 1 min ago,                  ETH ,         0.8783931,                  DEC ,       307.7535576,         0.0028542
0xf6cb7dd7de4192e0ee581d7f715af2483bc8a368af8b3fe4fe55083d4ecd2793,2 mins ago,                  ETH ,         5.6488029,                  XYO ,    132616.2704233,         0.0000426
0xc25951310f31f1fdf0414ee85053d8a4a31febfa3359b1f557ce94b62a47acee,2 mins ago,                  ETH ,         7.2718077,                TGAME ,     73278.0945317,         0.0000992
0x8c6727c5454ae96be29f5c74846f6bfcb5eb918f3f61da65cd1aebe339969f7d,2 mins ago,                 METM ,     11089.5676532,                  ETH ,         0.5901313,         0.0000532
0x5e24badde5252e6eaa03c1c01f47a11b5c4c9954883197f53a7186339a1c0bdc,2 mins ago,                  ETH ,         0.4751981,                  DEC ,       166.3459290,         0.0028567
0x9a40432c9157e34219127e69de73589f24c3c7f60bf1c5a38efbece558d2794c,2 mins ago,                 ICNQ ,      1621.2837078,                  ETH ,         1.0088600,         0.0006223
0xf63949af86f8c4fc1122fb357d9a7c7e3e0e26c2a249461e516fd95d38adc64b,3 mins ago,                  ETH ,         0.4751981,                  DEC ,       166.3459290,         0.0028567
0x7492741f43e4d38031969c3d1068b54d1f41d1a320d57b089656eac449a635e7,3 mins ago,                  ETH ,         0.7979767,                  DEC ,       276.9021213,         0.0028818
0x95c0eb9cd759727f1ca55950ec96cd26e3cd19e6153445a7d688a5b29130006c,3 mins ago,                  ETH ,         1.1465198,                 ICNQ ,      1845.7721038,         0.0006212
0xd6eb66f65998cf3de122a581a57c100346e1c391d5670a40e5ef6334df751cad,3 mins ago,                  ETH ,         0.7979767,                  DEC ,       276.9021213,         0.0028818
0xa7f1e86f1cac49e4471f8abc2c25cac33f1949289ede01bf130c08efd18a5bc2,3 mins ago,                  KIN ,   4366812.2270742,                  ETH ,         1.4000000,         0.0000003
0x99d91152636b44955172115dc1d8d4a55e87cc94eab87142d506fa21e290ff67,4 mins ago,                  ETH ,         0.1606439,                 INCX ,      7030.8109677,         0.0000228
0x7d091096b36be95ec2811c60d5df5b31b87309bab2bd9e99ec8bd515ef00d538,4 mins ago,                  ETH ,         0.3052795,                  DEC ,       106.3463964,         0.0028706
0x6f05adab61a66b6750d0b8247febed07ef9616b2cf50c8c50ebf1341ce6563cf,5 mins ago,                  ETH ,         0.3052795,                  DEC ,       106.3463964,         0.0028706
0x612054ad823695982a026a3487b453633512d8eb1d53f90f65c338c447a253df,6 mins ago,                  ETH ,         0.6215693,                  DEC ,       217.8509294,         0.0028532
0x7507803a6b6b1592fee959275771ca9717245c18f39e3d9ffa3468f18162bc05,6 mins ago,                  FBN ,   9202577.2307498,                  ETH ,         0.4712742,         0.0000001
0x8c52703aae8895064c6cb42c62e1852df42e584df85acb511c74ef531489b227,6 mins ago,                  ETH ,         0.6215693,                  DEC ,       217.8509294,         0.0028532
0x43c5bf4aad5b144d26f9ca9ce3458f3c5b540df93321cd3130e64b214193166d,6 mins ago,                  PAI ,     76475.2391358,                  ETH ,         5.2982199,         0.0000693
0xcec12fd2d4dc327f9fd3ed592ca05a32e22d6b5e49d7a7b9df444400cc8c1fe7,6 mins ago,                  PAI ,     19809.0161502,                  ETH ,         1.3723865,         0.0000693
0x4a1d2f078e076b2a3413d369debe9a476f671c0eb291dc393ad7bb4b05eb1ae0,6 mins ago,                  PAI ,      2165.0988910,                  ETH ,         0.1500002,         0.0000693
0x9623895c03adb3053919a5dd2d673bf70ba62cfb6090ca7169b90abafec3c2b7,7 mins ago,                  ETH ,         0.3032176,                  DEC ,       106.0829311,         0.0028583
0x2ffe3daa81ce68fbbde04147dd82aea2580ca293850eea937780ce4042346cd4,7 mins ago,                  ETH ,         0.3032176,                  DEC ,       106.0829311,         0.0028583
0x698a95dbb5ecb0eeec47e26a892b9e08fe5d71a639e6fb3943e023c0b709a094,8 mins ago,                  ETH ,         0.9424429,                  DEC ,       327.6819991,         0.0028761
0xdfc6c0bbe0fdbe40f93f92b3b8e140a2af7bced0e56297bcd81333fd768669e3,9 mins ago,                  ETH ,         0.9424429,                  DEC ,       327.6819991,         0.0028761
0xfb74720dda9dd6a8380bb3ce71a774341387a60b938347db1765e6ce68ffb32b,9 mins ago,                  ETH ,         0.4161395,                  DEC ,       145.5945147,         0.0028582
0x8d84e66de917b6373fefecacd9da8cfdf8860b058b67dd1d432279937ee7b99f,10 mins ago,                  ETH ,         0.4161395,                  DEC ,       145.5945147,         0.0028582
0x20fff8d140f04dc95ba68f8b304ba66deddd7f001fac0d40af99dc299f0eaaf1,11 mins ago,                  ESS ,   1030085.2538462,                  ETH ,        13.3911083,         0.0000130
0x70415c0dc31c97f74e3cf5ef094959ab91377d5c3155af9f96b2edcbbc03ee78,11 mins ago,                  ETH ,         0.3143866,                  DEC ,       108.6501458,         0.0028936
0x2a5e7fe24945dee3f7b72ddef3db7e3c510cf4ced37dbddc6663b977c4a07a97,11 mins ago,                  ETH ,         0.3143866,                  DEC ,       108.6501458,         0.0028936
0x4d024b2bfd17d9bdf65ce8da383bd188dbaa255f00f96a437d6803e41007ee85,11 mins ago,                  ETH ,         0.2287214,                  DEC ,        79.8036388,         0.0028661
0x5748d2a1ce93ae999abc4bd0ebe49a0fc17d542bcb2bcee3bdd22e02477db710,13 mins ago,                  ETH ,         0.2287214,                  DEC ,        79.8036388,         0.0028661
0xb90099a15d77014acd4acd2b5ea27d02a4fc4161b126a38d3669e613f73c0b5a,13 mins ago,                  ETH ,         2.0234626,                   CS ,      1913.5800000,         0.0010574
0xc0f44f14ff0818691294dfdefbdbd0f7f73c8d703d2107d5126a13855ea37608,13 mins ago,                  STQ ,     95215.1497749,                  ETH ,         0.4779820,         0.0000050
0x2d23c3c770f1ac85c0cb7adad5e8f10ff4e8f3131bce43f0cbfdce53110511be,13 mins ago,                  STQ ,     31000.0000000,                  ETH ,         0.1581000,         0.0000051
0xe7a5cb2c605cd114b7079321e097cd73db83caed1a8715b468ec0d1c4815adb4,13 mins ago,                  STQ ,    123075.9167290,                  ETH ,         0.6350717,         0.0000052
0x5176a8795d945c23d9ac9e637816c4fb436c3aa9ea358bfba8953304afa45244,13 mins ago,                  STQ ,     28754.7892720,                  ETH ,         0.1501000,         0.0000052
0x64a43a455d9b2c3dc0a886e04d1135b969a792efd42343710df7a7625643bf7e,13 mins ago,                  STQ ,     37617.0028317,                  ETH ,         0.2035834,         0.0000054
0x722d979445b30f43791d10a70d8527a3b751c9f5e3d9f35948c110be3d47a627,13 mins ago,                  STQ ,    116403.5515278,                  ETH ,         0.6300000,         0.0000054
0x846497a0107fd7af152cdaa0f6f719202335eb72e13de81f0b732bf098332741,13 mins ago,                  STQ ,     43963.3027523,                  ETH ,         0.2396000,         0.0000055
0xb32b0e9ee30661fd97ba504d11cdef033666ba1f062cd99292570b9a7b920489,13 mins ago,                  STQ ,     28985.5072464,                  ETH ,         0.1600000,         0.0000055
0x4b1a031e188a296501ccd7952cf7e174bd6f2f05589c1cbcf378cc76cbcf941e,13 mins ago,                  STQ ,     36218.7613184,                  ETH ,         0.2000000,         0.0000055
0x57d4a6e48611853bbdec93dcccc961b4ff0af85a7d0734a05582226840cab4fa,13 mins ago,                  STQ ,     31887.8233830,                  ETH ,         0.1794647,         0.0000056
0x7f108b341d0d8b3b2d5f1d884c78525c69ac16d3ea8dc2a179c6055b51423cdd,13 mins ago,                  STQ ,     35523.9786855,                  ETH ,         0.2000000,         0.0000056
0x7a48fbe109b6fb17a157e7bb9da761fe2321c7a4a0d16e09ff747e6fb2eceba1,14 mins ago,                  ETH ,         0.4906028,                  DEC ,       169.8955703,         0.0028877
0x9b6fd4c789e8164b2272d5246df90d448157e9c7f8d090045065ac9139661328,14 mins ago,                  ETH ,         0.4906028,                  DEC ,       169.8955703,         0.0028877
0xcda216bc94d4b38500a953ddce586ea0fbcde7f6be32abb9719590d5b0f3e038,14 mins ago,                  ETH ,         1.2118400,                 ECHT ,     22309.2783505,         0.0000543
0x46813ab74852cd04793fe3e31e99c750f72b94cb2f333cc34c3645f9cb7a3868,14 mins ago,                  ETH ,         0.3120529,                  DEC ,       107.1278601,         0.0029129
0x29cb87ec35ff114d82d59be92a1bc7ce941c888daabee94c0f94815145915721,15 mins ago,                  ETH ,         0.3120529,                  DEC ,       107.1278601,         0.0029129
0x9f928fe10af341288c0303ae1a72d3d62dc67745a20359e04f5315d9cda4dd7d,15 mins ago,                  ETH ,         0.2796311,                  DEC ,        96.4263386,         0.0028999
0x8d22048cdf28a2340924e30ba4a8c392b4411ef0b5c168bc62b24e76a024a2a3,16 mins ago,                  ETH ,         0.2796311,                  DEC ,        96.4263386,         0.0028999
0x0e6519d7b4c807fa7d27715c4d48b9cc4dab542bb5e4c85e76736bb03d54d2d5,17 mins ago,                  ETH ,         0.1893708,                  DEC ,        65.5248610,         0.0028901
0xb8d1aad4a557f69a624ea80038ff7881b0b690f988ad413270f0ae68c9725f45,17 mins ago,                  ETH ,         0.1893708,                  DEC ,        65.5248610,         0.0028901
0x8d5a83e88e8ce64ac1f6f617a2eb7e45ca9525f604d6e263f39d37b5107825a2,18 mins ago,                  OMX ,    205176.6385949,                  ETH ,         3.8983561,         0.0000190
0x39748b503c9c65d6b7a5f53d83bdd423c0ce38c29442fa9c6375d0569c915082,19 mins ago,                  H2O ,       110.1101100,                  ETH ,         1.1011011,         0.0100000
0xf22a46a7c499d8f6fb3febb18b11cc85ec89b0a5ee44b3c89f81ccc8b2d8cf6c,19 mins ago,                  ETH ,         0.7813977,                  DEC ,       271.6977196,         0.0028760
0x655d91552cfa5e7c8b7d4e21ee05680ac24db9140896a89edc91a248c432ccfe,19 mins ago,                  ADH ,      5348.1362873,                  ETH ,         0.2286340,         0.0000428
0x99643e48a264ec8deb53e5814cb7a02d0dcc6f8fb650157cd040d18c7c13ba3b,19 mins ago,                  PLU ,       103.6255781,                  ETH ,         0.4203453,         0.0040564
0x539448832eda3adaea901034f4462fa1d7730e9ec6c05d5e53f114d712e85228,19 mins ago,                  ETH ,         0.7813977,                  DEC ,       271.6977196,         0.0028760
0x32ff8b64e7f5675cac6a529fa72d48dceb0fb96384da23486bcf415b82435d46,20 mins ago,                  ETH ,         0.2155847,                  DEC ,        74.7230084,         0.0028851
0x48205e4b867e785647e9b927a9a91e3661e7d5cbaa1b40a58ce7ce1599e433a3,21 mins ago,                  ETH ,         0.2155847,                  DEC ,        74.7230084,         0.0028851
0xa7547d3b964670f9fafef294ede13b4288bfa790ffc150c409b987e333a1502f,23 mins ago,                  ETH ,         1.3932300,                 ICNQ ,      2245.9497364,         0.0006203
0x0d44a18545f08507378dd1040163d301446795c58de063bf8a56e63cb83a83f3,25 mins ago,                 NBAI ,     48684.4962274,                  ETH ,         0.5000000,         0.0000103
0x37333025d347b4fb716a012107df534f9898ec975d029089351c0ff8464d080e,25 mins ago,                 NBAI ,     19341.9669426,                  ETH ,         0.2000000,         0.0000103
0x9424b6852600961a8e71f16245970a85b23ff9d9c1aff323125c6d0e7fc6629b,25 mins ago,                  ETH ,         0.1623521,                  DEC ,        56.8940306,         0.0028536
0xcdaa2b93039e0333ee5771f225527f0f676ff3ade52e9e9c49ef1d3b881b8175,27 mins ago,                  ETH ,         7.9177354,                TGAME ,     79066.6602716,         0.0001001
0x5a7eb6fd97d837cdb1184c0c07cc9a5178c68c66dc8c0fa47116f89353eb4a4f,30 mins ago,                  ETH ,         0.1623521,                  DEC ,        56.8940306,         0.0028536
0xd73704e929fa2e3e714d1d1deda3a71360f192d9f49b66b27eb062f0248173ab,32 mins ago,                  FSN ,        39.0000000,                  ETH ,         0.2320500,         0.0059500
0xb6ac0a7e9db273f3861f3166db0dd985da8784b20739ccfd2b5866b4dbb099fb,32 mins ago,                  FSN ,       104.0000000,                  ETH ,         0.6198400,         0.0059600
0x09e392aed19bfe274e2dfa7a24a2f029de8e60b95b7bba9f3be1cdd759d3b10a,32 mins ago,                 AURA ,      1094.5902362,                  ETH ,         0.1997627,         0.0001825
